DAGBANI	ENGLISH
Karimba, ti mi ni a nyɛla yɛlimaŋyɛra.	Sir, we know you are an honest speaker.
Ti pala puɣisiriba, ti nyɛla yɛlimaŋyɛriba.	We are not spies, we are honest men.
Yɛlimaŋyɛriba beni, amaa bɛn wumdi n-kani.	There are those who speak the truth, but not those who listen.
Yɛlimaŋyɛriba beni, amaa bɛn wumdi n-kani.	There are those who speak the truth, but not those who obey.
Yinima n-nyɛ yɛlimuɣisirili maa. N ni kari ya bahi.	You people are the problem. I will chase you away.
Yɛli muɣisirili dini n-lee beni. Lala bipuɣinga mali yɛlimuɣisira pam.	There is another problem. That girl has many problems.
Ka o zaligunim’ maa mi pala yɛlimuɣisira.	And as for His commandments, they are not difficult.
Niriba ŋɔ zaa nyɛla bɛn ni wuhi shɛba ka bɛ ni tooi gbilisi tibili n-wum a yɛlimuɣisira.	All these people are educated and can listen carefully to your problems.
Dɔɣiripaɣ’ pini pa la din yoli pumpɔŋɔ, dama di mali yɛlmuɣsira pam.	Gifts to a new mother are no laughing matter nowadays, because it is a considerable burden.
Ninvuɣu shɛba ban mali suhiri ni yɛlimuɣisira.	People who have heart problems.
dunia ŋɔ yɛliniŋda.	the activities of this world.
A mali pal’ yɛlinli ti n naba.	You make a broad path for my feet.
kuɣ’ yɛlinli daa pa di noli zuɣu.	a big stone was on its opening.
bee n-zaŋ o nutali buɣisi sagbana yɛliŋ.	or measure the breadth of the sky with the palm of his hand.
m-baŋ Masia yurilim yɛliŋ mini di wɔɣilim ni di dubu ni di ziliŋ ni nyɛ shɛm.	to know what is the breadth and length and height and depth of the love of God.
yi baŋ Masia yurilim yɛliŋ mini di wɔɣilim ni di dubu ni di ziliŋ ni nyɛ shɛm.	you've felt what Christ's love's breadth and its length and its height and its depth are.
din niŋ ba maa wuhiya ni yɛliŋahili la nyɛla yɛlimaŋli. Ŋahili maa ni yɛli shɛm m-bɔŋɔ.	what happened to them shows that the proverb is true. This is what the proverb says.
baŋdi ŋaha mini yɛliŋmahima din nyɛ yɛnnim’ yɛtɔɣa mini bɛ saliŋlɔha.	understanding proverbs and parables and riddles.
dimbɔŋɔnim’ zaa nyɛla yɛliŋmahima din kpahiri ti zuɣu.	all this is an example for us.
Litaafi ŋɔ puuni malila anabitali yɛtɔɣ’ kpan’ shɛŋa din pa yɛlisaani.	This book contains prophetic themes which are not unfamiliar.
di daa nyɛla yɛlisɔɣirili bɛ sani, dinzuɣu ka bɛ daa bi baŋ di gbinni maa.	It was a hidden matter from them, that is why they didn't understand it.
n yi di mal’ anabitali yɛtɔɣa tɔɣisibu pini, ka tooi baŋdi yɛlisɔɣira.	if I had the gift of prophetic speech and could understand mysteries.
Yɛlitɔɣa kalinsi n-su puhigu.	Lack of information is the reason for postponing.
Ninsala nol’ yɛlitɔɣa n-nyɛ o puuni dariga.	The words from the mouth of a person are the ladder to his stomach.
Ninsala nol’ yɛlitɔɣa n-nyɛ o puuni dariga.	The words from the mouth of a person are his intentions.
Yɛlitɔɣ’ kurili zuɣu ka naɣipiɛliga doli nahu. 	The egret follows the cow because of an old tradition.
Yɛlitɔɣ’ kurili zuɣu ka naɣipiɛliga doli nahu.	It is because of an old tradition that the egret follows the cow.
A yi kuli wumdi so yɛla so m-be shɛli n-yɛri a gba yɛla.	If you are listening to someone talking about another person, someone is somewhere else talking about you.
Yɛli n zo yɛli n zo dini n-chɛ ka yɛla wuligira.	I inform my friend and he also informs his friend and this is what makes news spread everywhere.
Tuumba maa ni daa ti paai Gibia nti yɛli yɛlli maa.	When the messengers reached Gibeah and told them the issue.
Ŋun ka yiŋa wum yɛlli ŋun be yiŋa ni yɛli.	The one absent from the house has heard of an issue, the one who was present told it.
Yɛla din bi tuhi kpaɣa tahiri zabili na.	An issue that isn't agreed to brings trouble.
Yɛlli bi tu kpaɣa nam zabili.	An issue that doesn't lie down well with people creates trouble.
Yɛlli yi bi nya a, bɔ ka a yɛn garigi’ niŋ?	If you are not concerned with something, what will you do about it?
Yɛlli yi bi nya a, bɔ ka a yɛn garigi’ niŋ?	If something doesn't concern you, what are you going to do about it?
Yɛlli yi bi nya a, bɔ ka a yɛn garigi’ niŋ? If an issue is none of your business, what are you going to do about it?
Gbina n-yi chɛ ka doo boli paɣa dooni, amaa di nyaaŋa ŋun yɛla bi lan tɛhir’ o.	It is the buttocks that made a man invite a woman to sleep with him, and in the end he isn’t concerned about what she needs.
Alɛple niŋ pɔncha zuɣusaanim’ yɛla m-bala!	The airplane’s tire has a puncture; it is the concern of those in the air!
Bozuɣu ka a chani baɣisi mini bukpahinim’ bɛn sɔɣiri yɛr’ la sani ni bɛ ti yɛl’ a a zuɣu ni yɛlli? Ŋun ne ni tooi vihi baŋ o zuɣu ni yɛlli kpiimba sani?	why are you trying to find out the future by consulting mediums and psychics? Can the living find out the future from the dead?
yɛlimuɣisili.	a pressing matter.
Faralan’ bi kpɛri bundana yɛla ni.	A poor person doesn’t get involved in the affairs of a rich person.
Bɛ bi kpɛri taba yɛla ni.	They are at an impasse.
Bɛ bi kpri taba yɛla ni.	They don't talk to each other.
Yɛlli ŋɔ ni yila Yawɛ sani ŋɔ na.	This matter comes from the Lord.
Di saɣiya, di lan yɛli ma yɛlli ŋɔ yaha.	That's enough! Don't talk to me about this again.
Bɛn gbimisi ka lara bɛn’ mi bɛ yɛlli.	Those who are whispering together and laughing know what it is all about.
labisi a ni yu shɛm zaŋ chaŋ yɛlli maa polo zilinli ti ti na.	inform us what your will is in this matter.
nira bɔri bi’so yɛlli saha shɛlikam ni suhupiɛlli.	a child someone is always pleased and happy with.
labisi a ni yu shɛm zaŋ chaŋ yɛlli maa polo zilinli ti ti na.	come to us with a response on what your will on the matter is.
Kootu puuni paɣ’ kpuɣibo din nyɛla do’ yino ni paɣa yino yɛlli.	Court marriage is a matter of one man and one woman.
niriba ku tooi tam o yɛla.	people can't forget him.
niriba ku tooi tam o yɛla.	people can't forget about her.
Bipuɣiŋga maa yela ka n yɛri maa.	I am talking about the girl.
Jɔnatan daa yuri David yɛla pam.	Jonathan loved David very much.
Jɔnatan daa yuri David yɛla pam.	Jonathan loved David a lot.
N Duuma n-teegi n yɛla.	My Lord has remembered me.
Jɛrigu kpahi yɛla yaɣiri.	The fool pours things all over the place.
Yɛl’ pala n-chɛ ka bɛ teeri yɛl’ kura yɛla.	New things help people to remember old things.
Hali ni zuŋɔ Nanuŋ naa kam yi ti nya yɛlli.	Even today if any Nanumba chief has a problem.
Di saha ka Izraɛl tuma kpamba maa daa baŋ ni yɛlli ka bɛ nya maa.	Then the Israelite overseers realised that they were in trouble.
di lan mali bɛ yɛlli kam.	it can also resolve their every problem.
Dam be duu, yɛlli mi beni.	There is pito in the room, there is also trouble inside.
Bɛ yɛliya ni o yɛla maa du tia.	They say that his problem has climbed a tree.
Saawara zaŋ mali jɛrigu, ka yɛla saɣim.	Consulting with a fool, and plans spoil.
Yɛla yi chaŋ nayili ti yuui di miimi.	If a case goes to the chief’s palace and stays there for a long time, it has become tough.
dama o niriba maa mini ŋun’ Yawɛ biɛhigu shee suɣili la yɛla daa mal’ o nambɔɣu.	because the situation of his people and his, the Lord's, dwelling-place hut filled him with pity.
Naa Dauda kuriginsim saha yɛla.	About King David's Old Age.
Bɛ nyarila bia bɛ bi wumdi bia yɛla.	They see a child, but they don’t understand the situation of the child.
Saamba bɛn wum di yɛla gba chani nti nyari li.	Strangers who heard about it came to see it.
Saamba bɛn wum di yɛla gba chani nti nyari li.	Visitors who heard about it came to see it.
di simdi ni o zaŋ o biɛrisuŋtali n-wuh’ o tuma ni nyɛ shɛm tarintali yɛm puuni.	He should use his goodness to demonstrate how his actions are, in humble good sense.
Rɛhɔbɔam ŋun daa 
na nyɛ bipolli ka o yɛm na bi ziligi la.	Rehoboam who was still a youth and not yet really mature mentally. 
Rɛhɔbɔam ŋun daa na nyɛ bipolli ka o yɛm na bi ziligi la.	Rehoboam who was still a youth and not yet really experienced. 
Rɛhɔbɔam ŋun daa na nyɛ bipolli ka o yɛm na bi ziligi la.	Rehoboam who was still a youth and not yet really streetwise.
Yɛm shee wɔɣa, ka di biɛhigu shee zilim’ pam; ka di bo n-nya to pam.	The place of wisdom is far away, and its location is deep, and finding it is very hard.
Nira yi mali yɛm so mi ni ti mali yɛm gar’ o.	If you are wise, there will be someone who is wiser than you are.
ya polo ka nir’ lee yɛn bɔ n-nya yɛm? Ka luɣ’ dini ka baŋsim be?	where on earth can a person search to find wisdom. And which place is knowledge located?
a yi shiri bo yɛm, ka moog’ a nini bahi tɛhizilima zuɣu.	if you really seek sense, and are serious about wisdom.
Yɛm nyandi kpiɔŋ.	Wisdom overcomes physical strength.
Suhugarigu chɛmi ka n yɛma ŋma.	I am overcome by sorrow.
Ijipti wuna nya o ka bɛ ni’ sɔhira, ka Ijiptinim’ yɛma ŋma.	Egypt's gods see him and tremble, and the Egyptians are weak from fear.
Di chaŋ wula ka yi kuhiri ŋ-ŋmahiri n yɛma?	Why are you crying and breaking my heart?
Niŋma a yɛma ni.	Do according to your conscience.
A yɛma ni ka a ni baŋ din tuhi.	By your conscience you will know what is right.
a nyɛla yɛndana; a mi a ni yɛn niŋ o shɛm.	you're a sensible fellow, you'll know how to deal with him.
Ŋuni n-lee be yi ni n-nyɛ yɛndana ni baŋda?	Who amongst you is a wise and sensible person?
a zaŋ dimbɔŋɔnima n-sɔɣi yɛnnim’ mini baŋdiba, ka lee kahigi li wuhila biliɛri.	you hid these things from the wise and clever people and rather revealed them to babies.
So yi be yi ni n-tɛhi ni o nyɛla ʒiɛmani ŋɔ ni yɛndana, ŋun’ leemi jɛrigu din ni chɛ ka o leei yɛndana.	If anyone amongst you thinks he is a sensible person in this world, he must become a fool so that he will become wise.
Bɛ lan ka yɛn bahiga bɛ chandi ni.	The no longer have vigour in their step.
A piɛbi n ʒiɛri ka lahi yɛn zaŋ n yɛma ŋubi?	You have drank my soup and are going to eat my steamed corn flour too?
A ni ti bahi yɛmbahiga, dama tahima beni.	You will be secure, because there is hope.
Amaa di yi pa lala a ni labi niŋla ʒim zahimbu maa ka naanyi bahi yɛmbahiga ni a shiri ka HIV.	Otherwise you will go back for a blood-test to be finally sure that you don't have HIV.
Paɣa Mini Doo Donibu Din Mali Yɛmbahiga.	Safe Sex.
wahu ni daa zaŋ o yɛmbimbiɛri n-yɔhim Awa shɛm la.	like how the the serpent used his craftiness to deceive Eve.
bɛn doli zibisim soli dunia ŋɔ ni mali yɛmbimbiɛri bɛ tuma ni gari bɛn doli neesim soli.	those who follow the path of darkness hav evil intentions in their activities than those who follow the path of light.
Ti lo yɛmbimbiɛri nia biɛɣu ŋɔ.	We have planned a diabolical crime.
Wahu daa nyɛla yɛmbimbiɛrilana n-gari Yawɛ ŋun nyɛ Naawuni ŋɔ ni daa nam mɔɣu ni biŋkɔb’ shɛb’ zaa.	The snake was the most crafty of all the wild animals the Lord God had made.
Ŋuna n-saɣindi yɛmbimbiɛrinim’ ni lo nia ni bɛ tum tuun’ shɛli.	He foils the plots of the wicked.
Amaa ka Yisa daa baŋ bɛ yɛmbimbiɛtali maa.	but Jesus saw through their duplicity.
Naawuni daashili yɛmsɔɣirili shɛli o ni daa zali ti jilima nyabu zuɣu hal ka na bi nam dunia ŋɔ la.	God's secret wisdom, a wisdom that has been hidden and that God destined for our glory before time began.
Naawuni ni ti yɛn kari ashiya din be ninsalinim’ suhur ni saria.	God will judge the secret which is in people's hearts.
Bia ni kuli mɔɣirili pam shɛm, lala ka di gba kuli yɛn bilisiri viɛnyɛla.	As the child sucks on it plenty, then it will produce milk well.
N yɛn timmi nti zaŋ n dabili Babilɔn Naa.	I am about to send for my servant the King of Babylon.
A yi yɛn bɔhi baŋ juɣu daashili, nyin’ bɔhimi mɔpilinyua.	If you want to ask someone to know the secret of a vulture, you have to ask the apex of the thatch.
N napɔŋ yɛn sarigi.	My foot is about to slip.
o ku tooi be, amaa o bahigu yɛn bala.	he can't continue, but his end is upon him.
M bipuɣiŋga tarigi yɛn kpi.	My daughter is on the point of death.
Daadam niŋgbuna yi yɛn mali alaafee faashee ka ayodin ŋɔ biɛla kul be niŋgbina maa ni sahakam.	If the human body is to be healthy, it is necessary that there should always be a little of this iodine in it.
Yawɛ gbibi bɛnkam zaa yɛn lu; ka yiɣisiri bɛnkam zaa pun lu.	The Lord holds those who are about to fall; and raises up those who have already fallen.
malaikanima ata shɛb' bɛn kpalim n-na yɛn piɛb' bɛ kikahi la.	the three angels who are still about to blow their trumpets.
A yɛno yi yɛn ŋahigi ka so yɛl' a na che ka o tabi mal' a ka a yɛli ni a n zaŋ bahi.	If your jawbone is almost broken and someone tells you to hold it until he brings something to tie it, you say you will leave it.
Di saha maa ka Samson daa nya buŋ yɛno kɔbili.	Then Samson saw a donkey's jawbone.
n zilinli chaŋ ti tabili n yɛno.	my tongue goes and sticks to my jaw.
Ŋunkam yɛn mali sara, ka di nyɛla nahu bee piɛɣu, di simdi ka o yihi bim bɔɣigbini mini yɛno ni bimpuli ti maligumaana.	This is the share due the priests from the people who sacrifice a bull or a sheep: the shoulder, the jowls and the inner parts.
a yula yɛŋkiŋkabina yɛtɔɣa.	you love deceptive speech.
ninvuɣ’ yɔhindiba bɛn zaŋ yɛnkiŋkabina soli birigi niriba la ni zaŋ yɔhiŋgu wuhibu.	deceitful people, who lead others into error by the tricks they invent.
nyini yɛŋkiŋkabinalana, so ʒi n-tum’ a yɛŋkiŋkabina tuma.	you treacherous one, with whom no one has dealt treacherously.
Ŋuna n-gbaari yɛmnim’ bɛ yɛŋkiŋkama ni, ka yɛŋkiŋkamanim’ ni lo nia shɛŋa zaani tariga yomyom.	He catches clever people in their craftiness, and the plots of tricksters come to an end quickly.
Yi yi shiri nyɛla yɛlimaŋ’ yɛriba.	If you are really truth-tellers.
Kɔnsi ʒiɛri yɛrayɛra, bahi wumpaɣili.	Lepers hasten to get the food given to children as alms and the dogs are grateful.
Jahanjɛli miri ka o niŋ tabilankpia naani, dama tabilankpia ku tooi tiligi o, dama yɛriga be yoma.	The yellow weaverbird should not have trusted a wasp because a wasp cannot save it when the plucking stick is near.
Tabilakpihi bi dimda yɛriga.	Wasps do not sting the long stick that is used to pluck fruits.
Biŋkɔbiri kul yɛrigila mɔɣu ni.	Sheep and goats are spread all over the bush.
bɛ daa zaŋ bindoo n-du pii zuɣu ti yɛrigi sɔŋ Saul.	they went up and spread a sleeping-mat on the flat roof for Saul.
Ŋun bi zɔri vi yi yɛrigi bindɔhi, yinyaa n-kpabiri li.	It is the person who does not feel shame that spreads sleeping mats and it is the mad person who folds them up.
toli mini sakɔri bɛn ka kalinli waɣi yɛrigi.	hordes of locusts and grasshoppers swarmed all over.
yupiɛbiriba mini salo pam bɛni n-yɛrindi ka mɔhiri vuri.	flautists and a big crowd were milling about and making noise.
yupiɛbiriba mini salo pam bɛni n-yɛrindi ka mɔhiri vuri.	flautists and a big crowd were milling about and making noise.
Tikub’ ku tooi gbibi ashili, dinzuɣu miri ka a zaŋ amaŋ’ tabili yɛtɔɣigbaliŋlana.	The one who reveals secrets is a constant gossip; avoid someone with a big mouth.
ninvuɣ’ biɛri bɛn’ yɛtɔɣa kul nyɛla yɛtɔɣ’ kaha.	bad peoples' talk is perverse.
Ninkurugu noli n-nyo, ka o yɛtɔɣa.	It is the mouth of an elder that stinks, but not what he says.
Yi ni tooi zani Naawuni zaani n-tɔɣisi ʒiri yɛtɔɣa?	Can you tell lies on behalf of God?
A yi je yɛtɔɣa yoli, a bi nyɛri bindi sokpaŋa.	If you don’t like people criticising, you don’t go and shit on the side of the road.
Yi tɔɣisi ma yɛtɔɣ’ yoya.	You've been sarcastic.
Yi tɔɣisi ma yɛtɔɣ’ yoya.	You have made a sarcastic remark.
Karimbaannim’ maani ma la ansarisi ka di ka yɛtɔɣa.	The proud hold me in utter contempt.
Naa Gbewaa bihi ata maa zaa puuni, Nanumba yɛtɔɣa nyɛla din miri Dagbani n-gari dimbalanim maa zaa.	Of the three descendants of Naa Gbewaa, the language of the Nanumba is closer to Dagbani than the others.
Ninvuɣ’ kubo yɛtɔɣ’ shɛli yi ti beni, ka di ŋmaabu to yi sani.	If there should be a case of manslaughter and its resolution is too difficult for you.
niriba ata bee ayi shɛhira dibu zuɣu ti chɛ ka yɛtɔɣili kam mali nyaanzaanda.	because of the giving evidence of three or two people every 'case' has reliable backing.
bɛ zaŋ yɛtɔɣ’ kpeeni kam ka a sanna.	they should bring every hard case to you.
bɛ daa zaŋdi yɛtɔɣ’ kpɛma n-kani Musa sanna.	they used to bring difficult cases to Moses.
di ni tum o barina saha biɛla puuni ka di ka yɛtɔɣa.	it will cause him harm quickly and there will be no remedy.
Subee daa bi bɔri zabli yɛtɔɣa.	Subee didn't want it to become a matter of warfare.
Vihigu maa yi naai ka gbɔŋ maa yɛtɔɣa maa ka nasara, kootu yɛn yihila keeviyat maa m-bahi.	If the investigation is completed and the application is found to have no force, the court will cancel the caveat.
Paul ni daa nyɛ bɛ yɛtɔɣitɔɣira la.	Paul was their speaker.	So ka bɛ ni n-nyɛ yɛtɔɣitɔɣisira There was no one to speak up for them.
Chɛ ka vi di ninvuɣ’ shɛb’ bɛn maani ma ansarisi yɛra, N-yɛwaa! N-yɛwaa! la.	May those who say to me, “Aha! Aha!” be appalled at their own shame.
bɛ daa duhila bɛ yee tahiri pampam, ka tiŋ’ maa goondaa maa dii kabi ti lu tiŋa.	they raised their voice and shouted loudly and the wall of the town broke and fell down.
duhimiya yi yɛhi yili suhupiɛlli yila.	raise your voices and sing joyful songs.
O yee kpɛm’ pam ka o bi zɔri vi.	She was a loud and shameless woman.
Filistianim’ maa chaŋ ni bɛ ti yeei bɛ ni ku shɛb’ maa nɛma bɛ daa ŋma Saul zuɣu ka yeeg’ o gbɔɣino.	the Philistines went to strip the dead they cut off Saul's head and took off his war-gown.
Ŋuna n-yeeri nanim kpariti, ka sooni ba piɛtɔnima.	He takes off kings' shirts and dresses them in underpants.
Dazuli ye kparigu di yɛn yeela kpari’ chɛra.	The dazuli tree put on a smock and it will be removed a torn smock.
Yeemiya doo maa ni ye binyɛr’ daɣ’ shɛŋa maa.	Remove the filthy clothes the man is wearing.
N yɛn zaŋ binyɛr’ suma yɛl’ a.	I will clothe you with good clothes.
Naawuni yi ti ka yaŋɔ tiŋgbɔŋ ŋɔ ni na ti tiligi ya, ka yi yɛn chaŋ, yin’ zaŋmiya n kɔba mali chaŋ.	God will come here to this country and rescue you, and when you go, you take my bones with you!
yi yi niŋ lala, yi ni kpi Yi ku kpi.	if you do that you will die You won't die.
Yi ni tooi wuhi bɛ wɔri maa zaa zaŋ laɣim taba kalinli ni daa nyɛ shɛm?	Can you demonstrate what is the number of all their matchboxes added together?
Yi yi ti bi ʒi yi tizo maa na, yi ti ku nya n ninni.	You will not see my face again unless your brother is with you.
Suhimiya yi Karinzɔŋ rejistanima.	Ask for your Class Registers.
Dinzuɣu karimmiya n bɛn di daliri maa, ka lan deei baŋsim maa ka di sɔŋ ya.	So read those who know about it, and accept an understanding that will help you.
Doo yi na yoli niŋ amiliya.	If a man has just recently got married.
Paɣ’so yi tɛhi ni ko’nyuri gbaai o bia.	when a woman thinks her child is thirsty.
yi yi ti pɔhi yi wain tihi wala.	whenever you pick your grapes.
ti yi bahi ka bi' buluu la zuɣu kalinli nyɛ 4.	if we let the number of the blue counters be 4.
A baa yi zɔra, a bi mal’ o kariti wɔbiri.	Even if your dog runs fast, you don’t chase elephants with it.
a yi ku doli ma chaŋ, dindina n gba ku chaŋ.	if you won't go with me, then I won't go either.
Di biɛrim yi di be ka bo, n naan mali suhupiɛlli.	However painful it was, I would be happy.
Alibarika tibila yi kuli pɔri kabo di ni lɛbigi yɔɣu.	No matter how small a blessed tree is, it will become a forest.
Kɔ’surim nyɛla kɔ’shɛli din ka kasi, yi zaŋ ti bilɛɣu ka o nyu saha shɛli a yi ti sur’o kɔm nyɛla binshɛɣu din ni ti o barina pam.	Bathwater is not clean water you give it to a child to drink while you are bathing it, it is very dangerous.
bɛ zaŋdi la bia maa yi samban ni.	they take the child and go out to the frontyard. 
ya ka a lee yina bee ya ka a lee chana?	where are you coming from and where are you going to?
Nuhu daa yi ŋariŋ maa ni na.	Noah came out of the boat.
Do’ kurili n-zaŋ kparibu pɔb’ omaŋa n-yirina.	An old man wrapped in a cloak is coming out.
Chɛliya ka ti yi kpaŋa chaŋ luɣ’ shɛli ti vuhi biɛla.	Let's go aside and go somewhere to rest a little.
ŋun yɛli o mabihi maa ni ŋun ni yi kpaŋa n-ŋme n-di o toli.	he told his brothers that he would go off and conquer his own.
Jɔab daa yi Abinɛr karibu maa yɔɣu labina.	Joab came back from pursuing Abner.
Jɔab daa yi ŋmɛnditoli yɔɣu paai na.	Joab got back from a raid.
o daa bi bɔri ni o yi o pɔri maa nyaaŋa.	he didn't want to go back on his sworn promise.
o daa ŋoli yi bɛ sunsuuni n-chaŋ ti du zo’ shɛli zuɣu.	he slipped away through the crowd and went off up a mountain.
bɛ ku tooi lan chihi yi bɛ taali maa ni.	they no longer have any excuse.
Yisa daa ti be o nyaandoliba tooni ka bɛ yi soli chani Jɛrusalɛm.	Jesus was walking ahead of his disciples on the way to Jerusalem.
N ni chɛ ka a ti yi dunia yil’ ni ni suhudoo.	I will let you leave this world in peace.
N ni chɛ ka a ti yi dunia yil’ ni ni suhudoo.	I will let you die in peace.
N ni chɛ ka a ti yi dunia yil’ ni ni suhudoo.	I will let you pass away in peace.
saha shɛli bɛ ni daa yi tinduli ni n-labi kuni la.	at the time when those who had gone into exile came home again
Biɛɣu ni daa neeg’ asiba ka dam maa yi o ninni.	In the morning, when the wine had worn off.
di to pam ni a tooi paɣi lala kɔlibanim maa puuni ka di yi viɛnyɛla.	it is very difficult for you to wash the inside of those bottles so that it comes out really clean.
anzinfa maŋli shɛli bɛ ni zaŋ shɛ tiŋgban’ ni buɣim ni m-mal’ li buyopɔin ka di yi zaa la.	genuine silver refined seven times in the furnace.
Yisifu daa yi nachimbil’ viɛlli pam.	Joseph was a very handsome young man
man' Naawuni ŋun daa yi a zuɣu.	I God who appeared to you.
Yawɛ malaika daa ti puhi yi o zuɣu buɣim niɛm puuni tutuɣu ni.	The angel of the Lord appeared to him in a flame of fire in a bush.
Yawɛ jilima yi zahara sagbana ni.	the glory of the Lord appeared clearly.
O yira li bo?	What has he got to do with it?
Paɣa maa yimi ni puli.	The woman divorced during pregnancy.
A yibala duhiri ŋarɔŋ, lɔm ania m-bɔhim kɔ'duɣili.	If your enemy is paddling a canoe, try hard to learn how to swim.
N yibala duɣi dam ka mani mi ni saakom ka o taɣi.	My enemy brewed pito and I thought she was collecting rainwater.
Ŋun je ma duɣi dam ka mani mi ni saakom ka o taɣi.	My enemy brewed pito and I thought she was collecting rainwater.
Sokpaŋ’ fiɛbiga fiɛbi a yibala n-tabili a sima.	the road-side whip your opponent as well as your friend.
cheechi ŋmanila yidaanpaɣa, ka Masia nyɛ o yidana.	the church is like a wife, and Christ is her husband.
ti yidaannim’ nuu daa ka di ni?	were our husbands not supporting us?
paɣa maa pum mali yidana.	the woman already as a husband.
Paɣ’ suŋ n-liriti o yidana daashili.	A good wife hides the secrets of her husband.
din nyɛ doo yɛltɔɣa yɛrila yidan' talahi tuma ni nyɛ shɛli.	the man's business speaks of the responsibilities of a husband.
Bɛn tu ni bɛ beni ka lahabali ŋɔ ti n-nyɛ amiliya yidana.	Those who must be there to make this deposition are the bridegroom.
Yidana saɣim zaŋ zali ka di maai di nyɛla bihi saɣim bee samba saɣim.	If you preserve the house owner’s food for later and it becomes cold, it is given to children or strangers.
Bɛ bi yaɣiri yidana bee zuɣu n-kpɛri dooni.	You don’t step over the house owner’s legs to enter his bedroom.
Lala bidibiga bee bipuɣinga ka suhudoo o yidansili bee o yidanpaɣatali ni.	The boy or girl has no joy in married life.
Lala bidibiga bee bipuɣinga ka suhudoo o yidansili bee o yidanpaɣatali ni.	The boy or girl has no joy in being a husband or a wife.
cheechi ŋmanila yidaanpaɣa, ka Masia nyɛ o yidana.	the church is like a wife, and Christ is her husband.
Yidaanpaɣiba, zaŋmiya yimaŋ’ ti yi yidaannima kaman di ni simdi shɛm ti Duuma sani.	Wives, submit to your husbands, as is fitting to the Lord.
Yidaanpaɣiba, zaŋmiya yimaŋ’ ti yi yidaannima kaman di ni simdi shɛm ti Duuma sani.	Wives, submit to your husbands, as is fitting in the sights of our Lord.
Ka o chɛn’ n-yiɣri jamda.	And he walked along, jumping and gambolling.
mɔɣu ni buhi be nimaani n-yiɣiri jamda.	bush goats will be there jumping and gambolling.
n ni tooi yiɣi yaɣi gooni.	I'll be able to jump over a wall.
Kahiŋkɔɣu maa ni daa yiɣi yi.	the crow flew out.
Nooŋa ni yiɣiri gind’ o tɛɣu shɛm la.	As a bird flies around its nest.
Kpaŋ daa bi garig’ o ka yiɣi.	The guineafowl gave no answer and flew off.
A yi yɛn yiɣi, a zahindila sagbana ka naanyi yiɣi.	If you are going to fly you should measure the distance of the sky before you fly.
A yi yɛn yiɣi, a zahindila sagbana ka naanyi yiɣi.	If you are going to fly you shoud first analyse the sky before you fly.
Dama n tam yɛl’ shɛŋa din pun gari la yɛla. Di zaa yiɣiya ka firi.	For I have forgotten about the things that have already passed. They have all disappeared.
tiŋ’ maa nim’ daa lihir’ o ka tɛhiri ni o nuu maa ni mɔri bee ni o ni yiɣi lu n-kpi.	the people of the country were watching him and thinking that his hand would swell up or he would suddenly fall down dead.
tɔrili zaŋ o kpiŋkpan’ yiɣira gbib’ ba zuɣusaa.	an eagle bears them up on its wings.
Noombila yi ʒiɛm o kpuŋkpaŋ’ yiɣirigu, bihi yɛn she o.	If a bird looks down on its wings, children will roast it on a fire.
Bɛ daai ba mi luhi ka bɛ kɔŋ yiɣisibu.	They were pushed down and had no way of getting up again.
Sokam yiɣisim’ n sani yi.	Everyone leave my presence!
o daa yɛl’ o ni o yiɣisim n-kpe.	he told he to get up and go indoors.
N yiɣisirila nolɔgu kukoli saha.	I get up at cock-crow.
o daa yiɣisi tiŋa n-ʒini garo zuɣu.	he got up from the ground and sat on the bed.
Naawuni ni daa yiɣisi zuliya shɛb’ ka chɛ tiŋgban’ shɛli ti ba la.	the country of the nations that God made to get up and leave to them.
Gumachuɣu yi wari waa ka dɔɣi o bia, o gba zaŋdila waa yiɣisi zani.	If a chameleon dances while giving birth to a child, the child will also jump up and dance.
shee ka o bɔ nɔhi kum buɣa mini o yaanim’ ka bɛ yiɣisi zani o nyaaŋa ka o ko.	he should get fowls to kill to the shrine and his ancestors so that they will support him in his farming.
Jɔnatan daa vaai yiɣisi bindirigu maa dibu shee ni suhuyiɣisili pam.	Jonathan jumped up angrily and swept out of the dining room.
n suhu daa yiɣisi ka n je suli niŋ Juda fɔntinsinima.	I was angry and furious with the people of the cities of Judah.
Shɛba mi suhu din yiɣisi.	Then again some people get angry.
n dimnim’ bɛn suhu yiɣisi bahi n zuɣu.	my enemies who are angry with me.
Goli ŋun yi ti kuli peei saha shɛlikam, gbariti suhuri n-yiɣisiri bahiri chandi zuɣu.	Whenever the moon is shining, the cripples become anxious to go for a walk.
Lala ka bɛ daa niŋ yiɣisi niriba suhuri.	This is how they acted to arouse people's anger.
A yi n-yɛn nyɛbi bibila pani ŋuna faashee a pulila a yoli sɔŋ, di yi kpe n-naai ka a naan-yi yiɣisi li zali.	If you are to have sex with a young girl, it is good to make your penis relax for when it has completely entered then you can make it erect.
Dakoli ka paɣa ka o yoli yiɣisiri ni di niŋ bɔ?	A bachelor has no wife, so what is his penis becoming erect to do?
Yaakubu daa yiɣisi lu soli gbaai.	Jacob got up and started on his journey.
Di daa yi kul yiɣis’ o, bɛ gbib’ o mi ka lɔr’ o zoligɔnima.	Whenever it seized him they got hold of him and tied him with chains.
